Caso,Estado,Opcion,Solicitud_contacto_o_compra,Invitacion_a_comentar,Patrones,Texto
V12,despues,opcion2,NO,NO,,"Transforma tu piel en un lienzo de perfección con nuestro Foundation Primer Sunscreen SPF 15. Es más que un primer, es tu aliado para un acabado impecable que irradia confianza y luminosidad. Siente cómo tu maquillaje se desliza sin esfuerzo y se mantiene fresco durante horas, todo mientras tu piel disfruta de una protección esencial. ¡Es hora de lucir una piel sublime que te haga brillar! 💖🌟 #MaryKay #PielImpecable #MaquillajeDuradero #ConfianzaTotal #LookRadiante"
V12,despues,opcion3,NO,NO,,"¡Atención, amantes del glow! 🤩 ¿Quieres que tu maquillaje se quede quieto y perfecto TODO el día? Nuestro Foundation Primer Sunscreen SPF 15 es ese truco mágico que no sabías que necesitabas. Es como un superhéroe para tu piel: la deja lisa, lista para la acción y, ¡sorpresa!, con protección solar incluida para esos días soleados. ☀️ Dile adiós a los retoques constantes y hola a la piel que lo aguanta todo. 😉 ¿Ya probaste la magia de un buen primer? #MaryKay #TipsDeMaquillaje #VidaReal #SPFDiario #RutinaDeBelleza #GlamSinEsfuerzo"
V13,antes,opcion1,SI,NO,/\bm[áa]nd(?:a|á)(?:me|nos)?\b/i | /\bmensaje\s+(?:directo|privado)\b/i | /\b(?:escribi|manda|envia|mandá|enviá)\w*\s+(?:un\s+)?mensaje\b/i,"Descubrí el poder del perfeccionamiento con el Mary Kay Multi-Benefit Concealer. ✨ Este imprescindible de belleza está diseñado para brindar una cobertura impecable, disimulando imperfecciones y unificando el tono de tu piel con un acabado natural. Su fórmula avanzada trabaja para realzar tu luminosidad, ofreciendo un look fresco y descansado durante todo el día. Ideal para tu rutina diaria, te ayuda a destacar tu belleza natural. 🔬 Mandame un mensaje directo para encontrar tu tono perfecto y transformar tu mirada hoy mismo 💬
#MaryKay #MultiBenefitConcealer #CuidadoDeLaPiel #MaquillajeMaryKay #BellezaConsciente"
V13,antes,opcion2,SI,NO,/\benv[ií](?:a|á)(?:me|nos)?\b/i | /\b(?:un\s+)?(?:MD|DM)\b/,"¿Lista para deslumbrar con una piel sin filtros? 🌟 El Mary Kay Multi-Benefit Concealer es tu aliado secreto para una tez impecable y radiante. Olvidate de las imperfecciones y las ojeras, y mostrá tu mejor versión con una cobertura que se adapta a vos. Sentite poderosa, segura y lista para conquistar cada día con un toque de magia Mary Kay. Porque merecés lucir espectacular, siempre. 💖 ¡No esperes más para transformar tu look! Enviame un MD y te ayudo a conseguir ese acabado soñado 📩
#MaryKayGlam #PielPerfecta #TransformacionMK #BeautyGoals #ConcealerMagic #BellezaMaryKay"
V13,antes,opcion3,SI,SI,/\bm[áa]nd(?:a|á)(?:me|nos)?\b/i | /\b(?:escribi|manda|envia|mandá|enviá)\w*\s+(?:un\s+)?mensaje\b/i | /\bcont(?:a|á)(?:me|nos)\b/i,"Cuando el café no es suficiente para esconder la noche... ¡entra en acción tu superhéroe! 💪 El Mary Kay Multi-Benefit Concealer es ese amigo fiel que siempre te rescata de las ojeras y las visitas inesperadas de los granitos. 😜 ¿Quién dijo que perfeccionarse no podía ser divertido? Animate a decir adiós a las imperfecciones y hola a una piel que te hace sonreír. ¡Es tu momento de brillar sin esfuerzo! ✨ Contame, ¿cuál es tu zona de guerra? Mandame un mensaje y charlamos de cómo solucionarlo 😉
#AntiOjerasMK #ConcealerLife #MaryKayFan #MaquillajeDivertido #BeautyHacks #AmigaMaryKay"
V13,despues,opcion1,NO,NO,,"Descubre el poder del Perfeccionador Multi-Beneficios Mary Kay. Este corrector está diseñado para minimizar visiblemente las imperfecciones y unificar el tono de la piel, proporcionando una cobertura impecable y de aspecto natural. Su fórmula, pensada para la delicada piel del rostro, ayuda a crear una base luminosa y sin rastros de cansancio. Un esencial para cualquier rutina de maquillaje que busca precisión y cuidado. ✨ ¿Sabías que aplicarlo en los puntos clave de luz puede realzar tus rasgos? #MaryKay #CuidadoDeLaPiel #MaquillajeProfesional #BellezaInteligente"
V13,despues,opcion2,NO,NO,,"Transforma tu mirada y eleva tu confianza con el Perfeccionador Multi-Beneficios Mary Kay. Es tu secreto para una piel que luce impecable y radiante, lista para conquistar el día. Despídete de las ojeras y las pequeñas imperfecciones, y da la bienvenida a un rostro fresco y luminoso. Mereces una tez que refleje tu brillo interior. ¡Atrévete a lucir tu mejor versión cada día! 🌟💖 #MaryKayBelleza #MiradaRadiante #MaquillajeImpecable #ConfianzaMK"
V13,despues,opcion3,NO,SI,/\bcu[ée]nt(?:a|á)(?:me|nos)\b/i,"¡Alerta de aliado beauty! 🚨 ¿Noches cortas o días intensos? Este Perfeccionador Multi-Beneficios de Mary Kay es tu varita mágica para esos momentos en los que necesitas una ""buena cara"" instantánea. Cubre, ilumina y te hace sentir ready para cualquier selfie sin filtros. ¡Es como tener un mini spa facial en tu bolso! ¿Cuál es tu truco rápido para lucir siempre espectacular? Cuéntanos. 👇 #MaryKayMakeup #BeautyHacks #MaquillajeExpress #TuMejorVersion"
V14,antes,opcion1,SI,NO,/\bescr[ií]b(?:e|i)(?:me|nos|le)?\b/i | /\b(?:un\s+)?(?:MD|DM)\b/,"Descubre el poder del Clear Proof Gel Limpiador Facial de Mary Kay 🔬✨. Formulado con 2% de Ácido Salicílico, este gel es tu aliado experto para una limpieza profunda que combate las imperfecciones y ayuda a desobstruir los poros, dejando tu piel fresca y purificada. Ideal para quienes buscan un control efectivo del acné y una sensación de claridad. 

#MaryKay #ClearProof #CuidadoDeLaPiel #PielSinImperfecciones #SalicylicAcid #BellezaCientífica
Escribime un MD 💬 y te asesoro para una rutina perfecta."
V14,antes,opcion2,SI,NO,/\bm[áa]nd(?:a|á)(?:me|nos)?\b/i | /\b(?:escribi|manda|envia|mandá|enviá)\w*\s+(?:un\s+)?mensaje\b/i,"¡Despídete de las imperfecciones y dale la bienvenida a una piel radiante! 🌟 Con el Gel Limpiador Facial Clear Proof de Mary Kay, que contiene Ácido Salicílico, cada lavado es un paso hacia la claridad y la confianza que mereces. Siente la purificación profunda y mira cómo tu piel se transforma, revelando su mejor versión. ¡Tu camino hacia una piel impecable comienza hoy! 

#MaryKayArgentina #PielRadiante #AdiosAcné #Confianza #RutinaDeBelleza #PielImpecable
Mandame un mensaje y armamos tu rutina ideal para el éxito."
V14,antes,opcion3,SI,SI,/\bescr[ií]b(?:e|i)(?:me|nos|le)?\b/i | /\bdej(?:ame|á|a)\s+(?:tu\s+)?comentario\b/i,"Uff, ¿quién más necesita un reseteo para su piel? 😅 ¡Este es el secreto! Mi arma secreta contra esas visitas inesperadas: el Gel Limpiador Facial Clear Proof de Mary Kay con Ácido Salicílico. Es como un spa para tu piel, pero sin salir de casa. Frescura, limpieza profunda y ¡bye bye, granitos! 👋 Animate a sentirte con una piel renovada cada día. 

#MaryKayFan #SkincareJunkie #PielSana #BeautyTips #ClearSkinGoals #MomentoMaryKay
Dejame tu comentario 👇 o escribime para charlar y te cuento más."
V14,despues,opcion1,NO,NO,,"Descubre el poder de la ciencia para una piel clara. Nuestro Gel Limpiador Clarificante Mary Kay Clear Proof, con 2% de ácido salicílico, es el paso esencial para combatir las imperfecciones y limpiar profundamente los poros. Su fórmula experta ayuda a reducir el exceso de grasa y a minimizar la aparición de brotes, dejando una sensación de frescura y preparación ideal para tu rutina de hidratación diaria. ✨ La claridad es el primer paso hacia una piel saludable. #MaryKay #ClearProof #CuidadoDeLaPiel #PielSinImperfecciones #RutinaDeBelleza"
V14,despues,opcion2,NO,NO,,"Imagina una piel que irradia confianza y pureza. Con el Gel Limpiador Clarificante Mary Kay Clear Proof, ese deseo se convierte en realidad. Su potente fórmula con ácido salicílico trabaja incansablemente para purificar, desobstruir poros y revelar una tez más limpia y suave. Cada aplicación es un ritual de renovación que te acerca a la perfección, preparando tu piel para lucir siempre impecable y lista para brillar. 💎 Mereces una piel visiblemente transformada. #MaryKayLover #BellezaQueInspira #PielRadiante #ConfianzaMaryKay #EsenciaDeBelleza"
V14,despues,opcion3,NO,NO,,"¿Quién dijo que el lunes no puede ser un día de piel radiante? 🤩 Nuestro Gel Limpiador Clarificante Mary Kay Clear Proof es tu mejor amigo para darle un respiro a tu piel. ¡Adiós a los brillos indeseados y a esas pequeñas imperfecciones! Con su toque de ácido salicílico, es como un mini spa purificante que deja tu piel lista para conquistar el día (¡y absorber toda la hidratación que necesita!). ¿Lista para sentir esa frescura? 😉 #MaryKayLife #SkincareGoals #PielFresca #RutinaMañanera #ClearSkin"
V15,antes,opcion1,SI,NO,/\bescr[ií]b(?:e|i)(?:me|nos|le)?\b/i | /\b(?:un\s+)?(?:MD|DM)\b/,"Descubre la ciencia detrás de una piel visiblemente más joven con la línea TimeWise Repair Volu-Firm de Mary Kay. 🔬 Esta colección avanzada está diseñada para atacar los signos avanzados de la edad, ofreciendo una rutina completa que limpia, hidrata, protege y renueva. Su fórmula innovadora ayuda a restaurar la firmeza y elasticidad, atenuar líneas profundas y mejorar el tono de la piel, revelando un aspecto más vital y revitalizado. ✨

Escribime un MD 💬 para saber cómo integrar estos expertos en tu cuidado diario.
#MaryKay #TimeWiseRepair #CuidadoDeLaPiel #AntiEdad #BellezaCientífica"
V15,antes,opcion2,SI,NO,/\bm[áa]nd(?:a|á)(?:me|nos)?\b/i | /\b(?:escribi|manda|envia|mandá|enviá)\w*\s+(?:un\s+)?mensaje\b/i,"¿Lista para ver tu piel transformar su historia? ✨ La línea TimeWise Repair Volu-Firm de Mary Kay es tu pasaporte a una belleza sin límites. Siente cómo cada producto trabaja en armonía para redefinir el contorno de tu rostro, minimizar las arrugas y devolverle a tu piel la luminosidad y firmeza que anhela. ¡Mereces el lujo de una piel radiante y visiblemente más joven! 💖

Mandame un mensaje y armamos tu rutina ideal para un cambio que amarás. 📩
#MaryKay #TransformaTuPiel #LujoParaTuPiel #PielRenovada #MerecesLoMejor"
V15,antes,opcion3,SI,SI,/\benv[ií](?:a|á)(?:me|nos)?\b/i | /\b(?:escribi|manda|envia|mandá|enviá)\w*\s+(?:un\s+)?mensaje\b/i | /\bdej(?:ame|á|a)\s+(?:tu\s+)?comentario\b/i,"¡Amigas, si su piel necesita un SOS con glamour, llegaron al lugar correcto! 🤩 Mi rutina con TimeWise Repair Volu-Firm es mi secreto para esos días donde quiero sentirme como si saliera de un spa, ¡pero desde casa! 🧖‍♀️ Limpieza profunda, hidratación que se siente y esa sensación de que tu piel está diciendo '¡Gracias!' ✨ ¿Quién más ama cuidarse así? 🙋‍♀️

Dejame tu comentario 👇 o enviame un mensaje y te cuento todos los chismecitos de esta maravilla.
#MaryKayLovers #MiMomentoMK #CuidadoPersonal #PielFeliz #RutinaDeBelleza"
V15,despues,opcion1,NO,NO,,"Descubre el poder de la rutina TimeWise Repair™ Volu-Firm™ de Mary Kay. Este sistema integral está diseñado para combatir los signos avanzados del envejecimiento, desde la limpieza profunda con su espuma voluminizadora, hasta la protección diurna con FPS 30. Incluye una crema renovadora para el contorno de ojos y un tratamiento nocturno con retinol, que trabaja mientras descansas para restaurar la firmeza y la elasticidad de tu piel. 🔬✨ Una solución completa para una piel visiblemente rejuvenecida. #MaryKay #TimeWiseRepair #CuidadoDeLaPiel #AntiEdad #BellezaCientífica"
V15,despues,opcion2,NO,NO,,"¿Lista para elevar tu rutina de cuidado de la piel a otro nivel? ✨ La línea TimeWise Repair™ Volu-Firm™ de Mary Kay es tu pasaporte a una piel visiblemente más firme, lisa y radiante. Siente la sofisticación de una limpieza que prepara tu piel, la nutrición profunda de la crema de día con protección solar, la mirada rejuvenecida con la crema para ojos, y la magia del retinol actuando cada noche. Mereces una piel que refleje tu mejor versión. 💖👑 Despierta cada día con una luminosidad inigualable. #MaryKay #PielRadiante #LujoParaTuPiel #ResultadosVisibles #BellezaPremium"
V15,despues,opcion3,NO,NO,,"¡Alerta de rutina que AMAMOS! 😍 Si tus días son un torbellino y necesitas ese boost para sentirte fabulosa, la línea TimeWise Repair™ Volu-Firm™ es tu BFF. Desde la espuma limpiadora que te deja la piel lista para brillar, hasta la crema de noche con retinol que trabaja mientras sueñas (¡literalmente!), este kit es pura magia. 💫 ¿Quién más ama esa sensación de piel cuidada y lista para conquistar el mundo? ✨ #MaryKay #RutinaDeBelleza #PielFeliz #SelfCareGoals #AntiAgeVibes #MaryKayLatam"
