Conjunto,ID,Forma,Contenido
valores límite,L02,símbolo de moneda + cifra,"Base TimeWise ya disponible. $ 2500, escribime por privado."
valores límite,L03,forma indirecta (ninguna marca léxica explícita),"El set lo dejo en 2500$, consultame sin compromiso."
valores límite,L04,forma indirecta (ninguna marca léxica explícita),"Precios? Te los paso por privado, sin compromiso."
valores límite,L05,cifra + palabra de moneda,"Set completo de cuidado facial, 4500 pesos."
valores límite,L06,forma indirecta (ninguna marca léxica explícita),"Set completo de cuidado facial, cuatro mil quinientos pesos."
valores límite,L07,cifra + palabra de moneda,"Set completo de cuidado facial, 4500 pesos."
valores límite,L09,forma indirecta (ninguna marca léxica explícita),"Set de 3 productos, 12.500 todo junto."
valores límite,L13,descuento porcentual,Limpiador 4 en 1: 30% OFF esta semana.
valores límite,L14,descuento porcentual,Limpiador 4 en 1: 30% menos esta semana.
valores límite,L15,descuento porcentual,Limpiador 4 en 1: -30% solo por esta semana.
valores límite,L17,vocabulario comercial sin cifra,Aprovecha la promo de primavera en cuidado facial.
valores límite,L18,vocabulario comercial sin cifra,Aprovecha las promos de primavera en cuidado facial.
valores límite,L19,vocabulario comercial sin cifra,Consultame por las ofertas de primavera en cuidado facial.
valores límite,L22,palabra de precio + cifra,"Labial matte nuevo, precio 3200. Consultame."
valores límite,L23,palabra de precio + cifra,"Labial matte nuevo, los precios: 3200 y 4100 segun el tamano."
valores límite,L24,palabra de precio + cifra,"Labial matte nuevo, el precio es 3200. Consultame."
campo real (verbatim de consultoras),c1inf1,descuento porcentual,¡Hola! Te escribo porque este producto es nuestro indiscutido favorito y hoy entró en una promo que no podés dejar pasar
campo real (verbatim de consultoras),c1inf2,vocabulario comercial sin cifra,¡Hola! Te escribo con una promo hermosa pensada para mimarse: por el Día de las Madres tenemos la Loción Facial Humectan
campo real (verbatim de consultoras),c1inf4,símbolo de moneda + cifra,"¡Hola! Si estabas buscando un regalo práctico para él o renovarle la rutina, mirá lo que tengo en stock: el Gel Limpiado"
campo real (verbatim de consultoras),c1inf5,símbolo de moneda + cifra,¡Hola! Te paso este dato porque es el paso número uno para transformar la piel el Limpiador Facial 4 en 1 TimeWise a $14
campo real (verbatim de consultoras),c2inf1,símbolo de moneda + cifra,¡Hola! Te paso por acá este básico que no puede faltar en tu rutina: la Crema Facial Hidratante Mary Kay a AR$ 19.800. T
campo real (verbatim de consultoras),c2inf2,símbolo de moneda + cifra,¡Hola! Te paso este infaltable para que el maquillaje te quede impecable todo el día: el Primer Facial con FPS 15 de Mar
campo real (verbatim de consultoras),c2inf4,símbolo de moneda + cifra,¡Hola! Te escribo rápido porque este favorito entró en una promo imperdible por tiempo limitado: el Primer Facial con FP
campo real (verbatim de consultoras),c2inf5,descuento porcentual,¡Hola! Te escribo porque acaba de salir una promo imperdible: tenemos un 25% de descuento por lanzamiento en toda la Lín
campo real (verbatim de consultoras),c3inf1,descuento porcentual,¡Hola! Entiendo perfectamente que lo estés pensando. Es un regalo tan bonito y completo que queremos estar seguras. Mira
campo real (verbatim de consultoras),c3inf2,vocabulario comercial sin cifra,¡Hola! Se me ocurrió una promo especial para ustedes: hoy te llevás este set TimeWise (limpiadora 4 en 1 + hidratante an
campo real (verbatim de consultoras),c3inf3,vocabulario comercial sin cifra,¡Hola! ✨ Te escribo porque justo me acordé de vos. Este es el Set Milagroso TimeWise completo: trae la limpiadora 4 en 1
campo real (verbatim de consultoras),c3inf4,descuento porcentual,"Esta hidratante de Mary Kay es una maravilla: tiene una textura súper ligera, no deja sensación pesada y mantiene la pie"
