Eje,Revista,Autor,Anio,Titulo,DOI,Citas,Decision,Motivo
aceptacion-tecnologica,Computers in Human Behavior,Wang et al.,2024,A novel user-generated content-driven and Kano model focused framework to explore the impact mechanism of continuance intention to use mobile APPs,10.1016/j.chb.2024.108252,35,descartar,"sin-relacion-con-hueco: continuidad de uso de apps moviles en general, no evaluacion TAM de una herramienta de IA"
aceptacion-tecnologica,Journal of Business Research,Iyer et al.,2024,Navigating a paradigm shift: Technology and user acceptance of big data and artificial intelligence among advertising and marketing practitioners,10.1016/j.jbusres.2024.114699,32,incluir,"UTAUT aplicado a aceptacion de IA/big data entre profesionales de MARKETING, ajuste directo al contexto de Postly"
aceptacion-tecnologica,ACM Transactions on Information Systems,Lalor et al.,2024,Should Fairness be a Metric or a Model? A Model-based Framework for Assessing Bias in Machine Learning Pipelines,10.1145/3641276,32,descartar,fuera-de-dominio
aceptacion-tecnologica,Information Systems Journal,Ghasemaghaei et al.,2024,Ethics in the Age of Algorithms: Unravelling the Impact of Algorithmic Unfairness on Data Analytics Recommendation Acceptance,10.1111/isj.12572,30,descartar,"sin-relacion-con-hueco: equidad algoritmica en contratacion/promocion, no metodologia TAM"
aceptacion-tecnologica,ACM Computing Surveys,Ullah et al.,2024,"Explainable Artificial Intelligence: Importance, Use Domains, Stages, Output Shapes, and Challenges",10.1145/3705724,26,descartar,fuera-de-dominio
aceptacion-tecnologica,Information Systems Journal,Shou et al.,2024,Challenges in developing information and communication technology (<scp>ICT</scp>) use for rural e‐governance: An ecology perspective,10.1111/isj.12540,15,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Management Information Systems,Zheng et al.,2024,The Effects of Sentiment Evolution in Financial Texts: A Word Embedding Approach,10.1080/07421222.2023.2301176,14,descartar,fuera-de-dominio
aceptacion-tecnologica,International Journal of Human-Computer Studies,Kujala et al.,2024,Effects of context-sensitive distraction warnings on drivers’ smartphone use and acceptance: A long-term naturalistic field study,10.1016/j.ijhcs.2024.103247,11,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,Computers in Human Behavior,Tan et al.,2024,Theory of consumption value: A lens to examine the use and continual use intention of online game subscription services,10.1016/j.chb.2024.108377,10,descartar,fuera-de-dominio
aceptacion-tecnologica,Internet Research,Jin et al.,2024,How tie strength influences purchasing intention in social recommendation: evidence from behavioral model and brain activity,10.1108/intr-06-2023-0506,9,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Transactions on Computer-Human Interaction,Brewer et al.,2024,Examining Voice Community Use,10.1145/3635151,7,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Systems and Software,Akdur et al.,2024,Understanding Virtual Onboarding Dynamics and Developer Turnover Intention in the Era of Pandemic,10.1016/j.jss.2024.112136,6,descartar,fuera-de-dominio
aceptacion-tecnologica,Internet Research,Yu et al.,2024,Online healthcare platform doctors’ fatigue and continuance use intention based on JD-R model,10.1108/intr-09-2023-0822,6,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,ACM Computing Surveys,Pais et al.,2024,A Review on the Use of Physiological Signals for Assessing Postoperative Pain,10.1145/3685674,6,descartar,fuera-de-dominio
aceptacion-tecnologica,Empirical Software Engineering,Papotti et al.,2024,On the acceptance by code reviewers of candidate security patches suggested by Automated Program Repair tools,10.1007/s10664-024-10506-z,5,descartar,fuera-de-dominio
aceptacion-tecnologica,IEEE Transactions on Software Engineering,Gao et al.,2024,Which Animation API Should I Use Next? A Multimodal Real-Time Animation API Recommendation Model for Android Apps,10.1109/tse.2023.3338728,5,descartar,fuera-de-dominio
aceptacion-tecnologica,Information Systems Journal,Cao et al.,2024,Linking information technology use with corporate entrepreneurship: The mediation role of openness to external knowledge,10.1111/isj.12529,5,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Transactions on the Web,Yu et al.,2024,Learning Neighbor User Intention on User–Item Interaction Graphs for Better Sequential Recommendation,10.1145/3580520,1,descartar,fuera-de-dominio
aceptacion-tecnologica,Decision Support Systems,Hsu,2023,"Enhancing brand love, customer engagement, brand experience, and repurchase intention: Focusing on the role of gamification in mobile apps",10.1016/j.dss.2023.114020,74,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Business Research,Higueras-Castillo et al.,2023,Intention to use e-commerce vs physical shopping. Difference between consumers in the post-COVID era,10.1016/j.jbusres.2022.113622,66,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,Internet Research,Cheng et al.,2023,An investigation on the influencing factors of elderly people's intention to use financial AI customer service,10.1108/intr-06-2022-0402,61,incluir,TAM aplicado a aceptacion de IA de servicio al cliente financiero
aceptacion-tecnologica,Internet Research,Marikyan et al.,2023,"Working in a smart home environment: examining the impact on productivity, well-being and future use intention",10.1108/intr-12-2021-0931,45,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,Behaviour and Information Technology,Song et al.,2023,The double-edged sword effect of chatbot anthropomorphism on customer acceptance intention: the mediating roles of perceived competence and privacy concerns,10.1080/0144929x.2023.2285943,44,incluir,efecto doble filo del antropomorfismo del chatbot sobre la aceptacion del cliente
aceptacion-tecnologica,Behaviour and Information Technology,Bao et al.,2023,Examining the antecedents and health outcomes of health apps and wearables use: an integration of the technology acceptance model and communication inequality,10.1080/0144929x.2023.2183062,31,incluir,"TAM extendido + desigualdad de comunicacion, aplicado a adopcion de tecnologia digital de salud"
aceptacion-tecnologica,Journal of the Academy of Marketing Science,Hamilton et al.,2023,On the strategic use of product scarcity in marketing,10.1007/s11747-023-00976-w,27,descartar,fuera-de-dominio
aceptacion-tecnologica,Decision Support Systems,Wang et al.,2023,Create the best first glance: The cross-cultural effect of image background on purchase intention,10.1016/j.dss.2023.113962,26,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Transactions on Computer-Human Interaction,Mayer et al.,2023,"Awareness, Intention, (In)Action: Individuals’ Reactions to Data Breaches",10.1145/3589958,24,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Marketing Research,Jiang et al.,2023,Divergent Versus Relevant Ads: How Creative Ads Affect Purchase Intention for New Products,10.1177/00222437231187630,24,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Business Research,Chueh et al.,2023,Usage intention model of digital assessment systems,10.1016/j.jbusres.2022.113469,19,descartar,"sin-relacion-con-hueco: sistemas de evaluacion digital genericos, no una aplicacion de IA ni marketing"
aceptacion-tecnologica,International Journal of Human-Computer Studies,Lang et al.,2023,HMMCF:A human-computer collaboration algorithm based on multimodal intention of reverse active fusion,10.1016/j.ijhcs.2022.102916,16,descartar,fuera-de-dominio
aceptacion-tecnologica,Information and Software Technology,Ciriello et al.,2023,The yea-paradox: Cognitive bias in technology acceptance surveys,10.1016/j.infsof.2023.107253,15,incluir,"sesgo de aquiescencia (yea-saying) en encuestas TAM, exactamente el problema que el TAM v2 de la ampliacion corrige con items invertidos"
aceptacion-tecnologica,ACM Transactions on Computer-Human Interaction,Nadal et al.,2023,Patient Acceptance of Self-Monitoring on a Smartwatch in a Routine Digital Therapy: A Mixed-Methods Study,10.1145/3617361,15,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,Journal of the Academy of Marketing Science,Schauerte et al.,2023,Making new enemies: How suppliers’ digital disintermediation strategy shifts consumers’ use of incumbent offerings,10.1007/s11747-023-00963-1,15,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Systems and Software,Börstler et al.,2023,Investigating acceptance behavior in software engineering—Theoretical perspectives,10.1016/j.jss.2022.111592,11,descartar,"sin-relacion-con-hueco: aceptacion de practicas de ingenieria de software por desarrolladores, no de una herramienta de IA por usuarios finales"
aceptacion-tecnologica,ACM Transactions on Information Systems,Li et al.,2023,Topic-aware Intention Network for Explainable Recommendation with Knowledge Enhancement,10.1145/3579993,9,descartar,fuera-de-dominio
aceptacion-tecnologica,European Journal of Information Systems,Ayaburi et al.,2023,How do technology use patterns influence phishing susceptibility? A two-wave study of the role of reformulated locus of control,10.1080/0960085x.2023.2186275,8,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,ACM Transactions on the Web,Agarwal et al.,2023,A Graph-Based Context-Aware Model to Understand Online Conversations,10.1145/3624579,2,descartar,fuera-de-dominio
aceptacion-tecnologica,Empirical Software Engineering,Rocha et al.,2023,Using acceptance tests to predict merge conflict risk,10.1007/s10664-022-10266-8,1,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Transactions on the Web,Wu et al.,2023,Dynamic Bayesian Contrastive Predictive Coding Model for Personalized Product Search,10.1145/3609225,1,descartar,fuera-de-dominio
bajo-codigo,International Journal of Human-Computer Studies,Gunasekara et al.,2027,Auditing TikTok’s recommendations: Understanding the prevalence of misinformation on the platform,10.1016/j.ijhcs.2026.103929,0,descartar,fuera-de-dominio
bajo-codigo,Journal of Business Research,Weng et al.,2026,From Code to Care: How Artificial Empathy Enhances Customer Experience in Human-Robot Interaction,10.1016/j.jbusres.2026.115969,5,descartar,fuera-de-dominio
bajo-codigo,Information Systems Journal,Muthukannan et al.,2026,From Open Banking Regulation to Platform Orchestration: The Evolution of Digital Platform Governance,10.1111/isj.70030,2,descartar,fuera-de-dominio
bajo-codigo,Journal of Marketing Research,Zhan et al.,2026,Information Disclosure via Platform Endorsement in Online Health Care,10.1177/00222437251408776,2,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on the Web,Tari et al.,2026,Towards High-Fidelity Synthetic Multi-Platform Social Media Datasets via Large Language Models,10.1145/3789496,2,descartar,sin-relacion-con-hueco
bajo-codigo,IEEE Transactions on Software Engineering,Wang et al.,2026,Synthetic Malware at Scale: Malicious Code Generation With Code Transplanting,10.1109/tse.2025.3633280,1,descartar,fuera-de-dominio
bajo-codigo,Journal of Management Information Systems,Singha et al.,2026,Navigating Trade-Offs: Platform Strategies in Two-Sided Markets with Negative Externalities,10.1080/07421222.2025.2602392,1,descartar,fuera-de-dominio
bajo-codigo,Information and Software Technology,Kedziora et al.,2026,Requirements engineering for low-code development (RE4LCD): an empirical study from Nordic and central Europe,10.1016/j.infsof.2026.108334,0,incluir,"ingenieria de requisitos para plataformas low-code, como los constraints de la plataforma afectan el proceso"
bajo-codigo,ACM Transactions on Software Engineering and Methodology,Swaraj et al.,2026,CodeLite: A Low-Cost Framework for Code Classification Tasks via Enhanced Code Representations and Lexical Fusion,10.1145/3839361,0,descartar,sin-relacion-con-hueco
bajo-codigo,ACM Transactions on Software Engineering and Methodology,Ben Khalfallah,2026,Code Health Meter: A Quantitative and Graph-Theoretic Foundation for Automated Code Quality and Architecture Assessment,10.1145/3737670,0,descartar,sin-relacion-con-hueco
bajo-codigo,Journal of Systems and Software,Gao et al.,2026,What does current research say about the viability of low-code development? A systematic literature review,10.1016/j.jss.2026.112893,0,incluir,"revision sistematica de la viabilidad de low-code, 1006 articulos"
bajo-codigo,Journal of Systems and Software,Bruzzone et al.,2026,Code Less to Code More,10.1016/j.jss.2025.112554,0,descartar,"sin-relacion-con-hueco: protocolo de servidor de lenguaje (LSP) para editores de codigo, no plataformas low-code para no-tecnicos"
bajo-codigo,European Journal of Information Systems,Petrik et al.,2026,Different mechanisms for the same capability: understanding the platform ecosystem deployment capability,10.1080/0960085x.2026.2679463,0,descartar,fuera-de-dominio
bajo-codigo,European Journal of Information Systems,Durneva et al.,2026,The personal relevance of digital health technologies for self-management of chronic conditions: instrument development and validation,10.1080/0960085x.2025.2605343,0,descartar,fuera-de-dominio
bajo-codigo,Journal of Management Information Systems,Li,2026,Competitive Value of Product Security for Platform Complementors,10.1080/07421222.2026.2692279,0,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on Computer-Human Interaction,Kumar et al.,2026,Bring-in Privacy Provisions but Shape-up Attitude Too: Building Privacy Experience in Mobile Platform Ecosystem,10.1145/3796219,0,descartar,fuera-de-dominio
bajo-codigo,Behaviour and Information Technology,Cimino et al.,2026,From natural language to executable filter code: LLM-Assisted behavioural customisation in trigger–Action Platforms,10.1080/0144929x.2026.2711012,0,incluir,"LLM traduciendo lenguaje natural a codigo ejecutable en plataformas trigger-action, analogo directo al motor n8n de Postly"
bajo-codigo,Behaviour and Information Technology,Heymann et al.,2026,Online career counselling platform as reflective practice for competence development – a design-based research study,10.1080/0144929x.2026.2686163,0,descartar,fuera-de-dominio
bajo-codigo,Computers in Human Behavior,Li et al.,2026,Aggregate Convergence and Constituent Divergence in Incel-Related Online Communities: A Cross-Platform Linguistic Analysis,10.1016/j.chb.2026.109188,0,descartar,fuera-de-dominio
bajo-codigo,Journal of Marketing Research,Fong et al.,2026,How Effective Is Suggested Pricing? Experimental Evidence from an E-Commerce Platform,10.1177/00222437261432198,0,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on the Web,Rong et al.,2026,DOEM: A Novel Development-Oriented Evaluation Metric Framework for Service Recommendation,10.1145/3836738,0,descartar,sin-relacion-con-hueco
bajo-codigo,Journal of Systems and Software,Ajimati et al.,2025,Adoption of low-code and no-code development: A systematic literature review and future research agenda,10.1016/j.jss.2024.112300,35,incluir,"revision sistematica de adopcion de low-code/no-code, 40 estudios primarios"
bajo-codigo,Information and Software Technology,Khalajzadeh et al.,2025,Accessibility of low-code approaches: A systematic literature review,10.1016/j.infsof.2024.107570,18,incluir,"accesibilidad de enfoques low-code, dimension de diseno relevante para el hueco"
bajo-codigo,International Journal of Human-Computer Studies,Desolda et al.,2025,Understanding user mental models in AI-driven code completion tools: Insights from an elicitation study,10.1016/j.ijhcs.2025.103648,9,descartar,"sin-relacion-con-hueco: autocompletado de codigo para desarrolladores profesionales, no plataformas low-code para no-tecnicos"
bajo-codigo,Information Systems Journal,Viljoen et al.,2025,Navigating Flexibility and Standardisation in Low‐Code/No‐Code Development,10.1111/isj.70001,8,incluir,tension entre flexibilidad y estandarizacion en plataformas LCNC organizacionales
bajo-codigo,ACM Computing Surveys,Krasniqi et al.,2025,"SE Perspective on LLMs: Biases in Code Generation, Code Interpretability, and Code Security Risks",10.1145/3774324,7,descartar,sin-relacion-con-hueco
bajo-codigo,ACM Transactions on Software Engineering and Methodology,Majdinasab et al.,2025,Trained without My Consent: Detecting Code Inclusion in Language Models Trained on Code,10.1145/3702980,6,descartar,fuera-de-dominio
bajo-codigo,Internet Research,Sun et al.,2025,Platform data empowerment in cross-border e-commerce and platform trust for sellers: a value co-creation perspective,10.1108/intr-02-2024-0301,6,descartar,fuera-de-dominio
bajo-codigo,Information Systems Journal,Bodendorf et al.,2025,Shaping Platform Governance Principles to Manage Interorganizational Data Exchange,10.1111/isj.12592,5,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on Information Systems,Zhang et al.,2025,SECON: Maintaining Semantic Consistency in Data Augmentation for Code Search,10.1145/3686151,5,descartar,fuera-de-dominio
bajo-codigo,Journal of the Academy of Marketing Science,Lee et al.,2025,Platform customer misconduct: A conceptual framework for research and practice,10.1007/s11747-025-01111-7,4,descartar,fuera-de-dominio
bajo-codigo,Information and Software Technology,De Sanctis et al.,2025,A low-code assessment platform for urban digital twins,10.1016/j.infsof.2025.107726,3,descartar,"sin-relacion-con-hueco: aplicacion de low-code a gemelos digitales urbanos, dominio muy distinto al de Postly"
bajo-codigo,Journal of Systems and Software,Ghannoum et al.,2025,Poisoned source code detection in code models,10.1016/j.jss.2025.112384,3,descartar,fuera-de-dominio
bajo-codigo,Decision Support Systems,Chen et al.,2025,A cross-platform rumor detection framework considering data privacy protection and different detection capabilities of online social platforms,10.1016/j.dss.2025.114524,3,descartar,fuera-de-dominio
bajo-codigo,ACM Computing Surveys,Bouzid et al.,2025,Assessing the Effectiveness of ChatGPT in Secure Code Development: A Systematic Literature Review,10.1145/3744553,3,descartar,sin-relacion-con-hueco
bajo-codigo,ACM Transactions on Information Systems,Xiao et al.,2025,UNGER: Generative Recommendation with A Unified Code via Semantic and Collaborative Integration,10.1145/3773771,3,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on the Web,Impiccichè et al.,2025,Comparing Echo Chamber Detection Metrics: A Cross-modeling and Cross-platform Analysis of Twitter and Reddit,10.1145/3707701,2,descartar,fuera-de-dominio
bajo-codigo,Behaviour and Information Technology,Techmanska et al.,2025,Low-Code excellence: unveiling the skill set of modern digital architects,10.1080/0144929x.2025.2506663,1,incluir,competencias necesarias para la adopcion efectiva de plataformas low-code
bajo-codigo,Journal of the Academy of Marketing Science,Van Crombrugge et al.,2025,Engagement in platform markets: A (video) game changer?,10.1007/s11747-025-01089-2,1,descartar,fuera-de-dominio
bajo-codigo,Empirical Software Engineering,Majdinasab et al.,2025,DeepCodeProbe: Evaluating Code Representation Quality in Models Trained on Code,10.1007/s10664-025-10731-0,0,descartar,fuera-de-dominio
bajo-codigo,IEEE Transactions on Software Engineering,Du et al.,2025,Post-Incorporating Code Structural Knowledge Into Pretrained Models via ICL for Code Translation,10.1109/tse.2025.3605768,0,descartar,fuera-de-dominio
bajo-codigo,Decision Support Systems,Wang et al.,2025,Data protection capability disclosure strategies and data utilization decisions in platform ecosystems,10.1016/j.dss.2025.114560,0,descartar,fuera-de-dominio
bajo-codigo,Computers in Human Behavior,Wang et al.,2024,Does algorithmic control facilitate platform workers’ deviant behavior toward customers? The ego depletion perspective,10.1016/j.chb.2024.108242,45,descartar,fuera-de-dominio
bajo-codigo,Journal of the Academy of Marketing Science,Atanasova et al.,2024,Platform cooperatives in the sharing economy: How market challengers bring change from the margins,10.1007/s11747-024-01042-9,23,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on Information Systems,Razgallah et al.,2024,Using Neural and Graph Neural Recommender Systems to Overcome Choice Overload: Evidence From a Music Education Platform,10.1145/3637873,19,descartar,fuera-de-dominio
bajo-codigo,Journal of Business Research,Liu et al.,2024,Digital platform compatibility strategies in platform co-opetition,10.1016/j.jbusres.2023.114489,17,descartar,fuera-de-dominio
bajo-codigo,Empirical Software Engineering,Alazba et al.,2024,CoRT: Transformer-based code representations with self-supervision by predicting reserved words for code smell detection,10.1007/s10664-024-10445-9,16,descartar,fuera-de-dominio
bajo-codigo,Decision Support Systems,Zhang et al.,2024,Upstream information sharing in platform-based e-commerce with retail plan adjustment,10.1016/j.dss.2023.114099,14,descartar,fuera-de-dominio
bajo-codigo,Information and Software Technology,Kartal et al.,2024,Automating modern code review processes with code similarity measurement,10.1016/j.infsof.2024.107490,12,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on Computer-Human Interaction,Vasconcelos et al.,2024,Generation Probabilities Are Not Enough: Uncertainty Highlighting in AI Code Completions,10.1145/3702320,12,descartar,sin-relacion-con-hueco
bajo-codigo,Journal of the Academy of Marketing Science,Doğan et al.,2024,Platform-level consequences of performance-based commission for service providers: Evidence from ridesharing,10.1007/s11747-024-01005-0,9,descartar,fuera-de-dominio
bajo-codigo,Journal of Marketing Research,Stourm et al.,2024,Flowers and Bees: Spatial Network Effects in the Adoption of a Sharing-Economy Platform,10.1177/00222437241255057,7,descartar,fuera-de-dominio
bajo-codigo,Empirical Software Engineering,Sundelin et al.,2024,Governing the commons: code ownership and code-clones in large-scale software development,10.1007/s10664-024-10598-7,1,descartar,fuera-de-dominio
bajo-codigo,Internet Research,Roberts et al.,2024,Platform control and multi-realized platform benefits: a meta-analysis,10.1108/intr-05-2023-0346,0,descartar,fuera-de-dominio
bajo-codigo,Journal of Business Research,Duan et al.,2023,Be alert to dangers: Collapse and avoidance strategies of platform ecosystems,10.1016/j.jbusres.2023.113869,85,descartar,fuera-de-dominio
bajo-codigo,Computers in Human Behavior,Tang et al.,2023,Uncertainty in the platform market: The information asymmetry perspective,10.1016/j.chb.2023.107918,69,descartar,fuera-de-dominio
bajo-codigo,ACM Computing Surveys,Di Grazia et al.,2023,Code Search: A Survey of Techniques for Finding Code,10.1145/3565971,56,descartar,fuera-de-dominio
bajo-codigo,Decision Support Systems,Chen et al.,2023,Fit into work! From formalizing governance of gig platform ecosystems to helping gig workers craft their platform work,10.1016/j.dss.2023.114016,43,descartar,fuera-de-dominio
bajo-codigo,ACM Transactions on Computer-Human Interaction,Suto et al.,2023,"Crane: An Integrated Computational Design Platform for Functional, Foldable, and Fabricable Origami Products",10.1145/3576856,36,descartar,sin-relacion-con-hueco
bajo-codigo,Computers in Human Behavior,Guzsvinecz et al.,2023,Length and sentiment analysis of reviews about top-level video game genres on the steam platform,10.1016/j.chb.2023.107955,36,descartar,fuera-de-dominio
bajo-codigo,Internet Research,Heimburg et al.,2023,Digital platform regulation: opportunities for information systems research,10.1108/intr-05-2022-0321,33,descartar,fuera-de-dominio
bajo-codigo,IEEE Transactions on Software Engineering,Khan et al.,2023,Code Cloning in Smart Contracts on the Ethereum Platform: An Extended Replication Study,10.1109/tse.2022.3207428,30,descartar,fuera-de-dominio
